DATETIME	DEPTH	TEMP
1990-07-20	0.91	22.78
1990-07-20	2.74	21.67
1990-07-20	3.66	21.67
1990-07-20	4.57	21.67
1990-07-20	6.1	21.67
1990-07-20	7.62	20.56
1990-07-20	9.14	18.33
1990-09-10	0.91	20
1990-09-10	2.74	20
1990-09-10	3.66	19.44
1990-09-10	4.57	19.44
1990-09-10	6.1	18.89
1990-09-10	7.01	17.78
1990-10-09	0.91	11.67
1990-10-09	2.74	11.11
1990-10-09	3.66	11.11
1990-10-09	4.57	11.11
1990-10-09	6.1	11.11
1990-10-09	7.62	11.11
1990-10-09	8.23	10.56
1991-07-24	0.91	23.33
1991-07-24	2.74	23.33
1991-07-24	3.66	23.33
1991-07-24	4.57	22.22
1991-07-24	6.1	22.22
1991-07-24	7.62	20.56
1991-07-24	8.23	17.22
1991-08-12	0.91	23.89
1991-08-12	2.74	22.22
1991-08-12	3.66	20.56
1991-08-12	4.57	20
1991-08-12	6.1	20
1991-08-12	7.62	20
1991-08-12	8.84	19.44
1991-09-10	0.91	18.89
1991-09-10	2.74	19.44
1991-09-10	3.66	19.44
1991-09-10	4.57	19.44
1991-09-10	6.1	18.89
1991-09-10	7.62	19.44
1991-09-10	8.23	19.44
1991-10-02	0.91	12.22
1991-10-02	2.74	12.22
1991-10-02	3.66	12.22
1991-10-02	4.57	12.22
1991-10-02	6.1	12.22
1991-10-02	7.62	11.67
1991-10-02	8.23	11.67
1992-06-19	0.91	18.89
1992-06-19	2.74	17.78
1992-06-19	3.66	17.78
1992-06-19	4.57	17.78
1992-06-19	6.1	17.22
1992-06-19	7.62	12.78
1992-06-19	8.84	10
1992-07-15	0.91	18.89
1992-07-15	2.74	18.89
1992-07-15	3.66	18.33
1992-07-15	4.57	17.78
1992-07-15	6.1	15.56
1992-07-15	7.62	15.56
1992-07-15	8.84	14.44
1992-08-17	0.91	18.89
1992-08-17	2.74	18.89
1992-08-17	3.66	17.78
1992-08-17	4.57	17.78
1992-08-17	6.1	18.89
1992-08-17	7.62	18.89
1992-08-17	8.84	18.33
1992-09-14	0.91	16.67
1992-09-14	2.74	15.56
1992-09-14	3.66	15.56
1992-09-14	4.57	15.56
1992-09-14	6.1	15.56
1992-09-14	7.62	15.56
1992-09-14	8.84	14.44
1992-10-06	0.91	12.78
1992-10-06	2.74	12.78
1992-10-06	3.66	12.78
1992-10-06	4.57	12.78
1992-10-06	6.1	12.22
1992-10-06	7.62	12.22
1992-10-06	8.84	12.22
1993-05-12	0.91	12.78
1993-05-12	2.74	12.78
1993-05-12	3.66	12.78
1993-05-12	4.57	12.78
1993-05-12	6.1	11.67
1993-05-12	7.62	11.11
1993-05-12	9.14	11.11
1993-06-21	0.91	17.78
1993-06-21	2.74	17.78
1993-06-21	3.66	17.22
1993-06-21	4.57	17.22
1993-06-21	6.1	14.44
1993-06-21	7.62	14.44
1993-06-21	8.84	13.33
1993-07-20	0.91	22.22
1993-07-20	2.74	22.22
1993-07-20	3.66	20.56
1993-07-20	4.57	20.56
1993-07-20	6.1	20.56
1993-07-20	7.62	18.33
1993-07-20	9.14	16.11
1993-08-16	0.91	23.89
1993-08-16	2.74	23.33
1993-08-16	3.66	22.78
1993-08-16	4.57	21.67
1993-08-16	6.1	20
1993-08-16	7.62	18.89
1993-08-16	8.84	18.33
1993-09-19	0.91	15.56
1993-09-19	2.74	15.56
1993-09-19	3.66	15.56
1993-09-19	4.57	15.56
1993-09-19	6.1	15.56
1993-09-19	7.62	15
1993-09-19	8.84	15
1994-05-23	0.91	18.33
1994-05-23	2.74	16.67
1994-05-23	3.66	15
1994-05-23	4.57	13.33
1994-05-23	6.1	12.78
1994-05-23	7.62	12.22
1994-05-23	9.14	11.11
1994-06-27	0.91	23.33
1994-06-27	2.74	23.33
1994-06-27	3.66	23.33
1994-06-27	4.57	23.33
1994-06-27	6.1	22.22
1994-06-27	7.62	15.56
1994-06-27	8.53	12.22
1994-07-27	0.91	21.11
1994-07-27	2.74	21.11
1994-07-27	3.66	21.11
1994-07-27	4.57	21.11
1994-07-27	6.1	20
1994-07-27	7.62	17.78
1994-07-27	8.84	15.56
1994-08-29	0.91	20
1994-08-29	2.74	20
1994-08-29	3.66	20
1994-08-29	4.57	20
1994-08-29	6.1	20
1994-08-29	7.62	18.33
1994-08-29	8.23	17.22
1994-09-28	0.91	15.56
1994-09-28	2.74	15.56
1994-09-28	3.66	15.56
1994-09-28	4.57	16.11
1994-09-28	6.1	16.67
1994-09-28	7.62	16.67
1994-09-28	8.23	16.67
1995-05-15	0.91	12.22
1995-05-15	2.74	11.11
1995-05-15	3.66	10
1995-05-15	4.57	10
1995-05-15	6.1	10
1995-05-15	7.62	10
1995-05-15	8.84	8.89
1995-06-27	0.91	25.56
1995-06-27	2.74	25.56
1995-06-27	3.66	25
1995-06-27	4.57	24.44
1995-06-27	6.1	21.67
1995-06-27	7.62	18.33
1995-06-27	8.84	15.56
1995-07-25	0.91	23.33
1995-07-25	2.74	23.33
1995-07-25	3.66	22.78
1995-07-25	4.57	22.78
1995-07-25	6.1	21.11
1995-07-25	7.32	17.78
1995-08-28	0.91	22.22
1995-08-28	2.74	22.22
1995-08-28	3.66	22.22
1995-08-28	4.57	21.11
1995-08-28	6.1	21.11
1995-08-28	7.62	20.56
1995-08-28	8.23	20
1996-07-29	2.74	19.44
1996-07-29	3.66	19.44
1996-07-29	4.57	19.44
1996-07-29	6.1	19.44
1996-07-29	7.62	13.89
1996-07-29	9.14	10.56
1996-08-25	0.91	21.67
1996-08-25	1.83	21.67
1996-08-25	2.74	21.67
1996-08-25	3.66	21.11
1996-08-25	4.57	21.11
1996-08-25	6.1	18.89
1996-08-25	7.62	13.33
1996-08-25	8.53	13.33
1996-09-29	0.91	14.44
1996-09-29	1.83	14.44
1996-09-29	2.74	14.44
1996-09-29	3.66	14.44
1996-09-29	4.57	14.44
1996-09-29	6.1	14.44
1996-09-29	7.62	14.44
1996-09-29	9.14	14.44
1997-06-02	0.91	17.78
1997-06-02	1.83	16.67
1997-06-02	2.74	15.56
1997-06-02	3.66	13.89
1997-06-02	4.57	13.89
1997-06-02	6.1	12.78
1997-06-02	7.62	11.11
1997-07-12	0.91	21.67
1997-07-12	1.83	21.67
1997-07-12	2.74	21.11
1997-07-12	3.66	21.11
1997-07-12	4.57	20.56
1997-07-12	6.1	18.89
1997-07-12	7.62	13.89
1997-07-12	9.14	12.78
1997-08-24	0.91	19.44
1997-08-24	1.83	19.44
1997-08-24	2.74	18.89
1997-08-24	3.66	18.89
1997-08-24	4.57	18.89
1997-08-24	6.1	18.89
1997-08-24	7.62	18.33
1997-08-24	9.14	15
1997-10-04	0.91	15.56
1997-10-04	1.83	15.56
1997-10-04	2.74	15.56
1997-10-04	3.66	15.56
1997-10-04	4.57	15.56
1997-10-04	6.1	15
1997-10-04	7.62	15
1997-10-04	9.14	15
1998-04-26	0.91	10
1998-04-26	1.83	10
1998-04-26	2.74	10
1998-04-26	3.66	10
1998-04-26	4.57	8.89
1998-04-26	6.1	8.89
1998-04-26	7.62	8.33
1998-04-26	9.14	7.22
1998-06-21	0.91	22.78
1998-06-21	1.83	22.78
1998-06-21	2.74	22.78
1998-06-21	3.66	22.22
1998-06-21	4.57	20.56
1998-06-21	6.1	18.33
1998-06-21	7.62	16.67
1998-06-21	9.14	16.11
1998-08-01	0.91	23.33
1998-08-01	1.83	22.78
1998-08-01	2.74	22.78
1998-08-01	3.66	22.78
1998-08-01	4.57	22.78
1998-08-01	6.1	22.22
1998-08-01	7.62	20
1998-08-01	9.14	18.89
1998-09-12	0.91	21.67
1998-09-12	1.83	21.11
1998-09-12	2.74	20.56
1998-09-12	3.66	20.56
1998-09-12	4.57	20.56
1998-09-12	6.1	20.56
1998-09-12	7.62	20
1998-09-27	0.91	17.78
1998-09-27	1.83	17.78
1998-09-27	3.66	17.78
1998-09-27	4.57	17.78
1998-09-27	6.1	17.78
1998-09-27	7.62	17.78
1998-09-27	9.14	17.78
